,id,key,title,excerpt,matched_title,description,thumbnail
0,22261,Ontology,Ontology,"metaphysics, ontology is the philosophical study of being, as well as related concepts such as existence, becoming, and reality. Ontology addresses questions",,"Branch of philosophy that studies concepts such as existence, being, becoming, and reality","{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 137, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Philbar_3.png/200px-Philbar_3.png'}"
1,2477036,Guerrilla_ontology,Guerrilla ontology,"Guerilla ontology is a practice described by author Robert Anton Wilson in his 1980 book The Illuminati Papers as ""the basic technique of all my books",,,
2,49681,Ontology_(information_science),Ontology (information science),"In computer science and information science, an ontology encompasses a representation, formal naming, and definition of the categories, properties, and",,Specification of a conceptualization,
3,1454791,Gene_Ontology,Gene Ontology,The Gene Ontology (GO) is a major bioinformatics initiative to unify the representation of gene and gene product attributes across all species. More specifically,,Bioinformatics initiative,
4,3200382,Upper_ontology,Upper ontology,"information science, an upper ontology (also known as a top-level ontology, upper model, or foundation ontology) is an ontology (in the sense used in information",,Ontology applicable across domains of knowledge,
5,11180023,Meta-ontology,Meta-ontology,Meta-ontology is the study of the field of inquiry known as Ontology. The goal of meta-ontology is to clarify what ontology is about and how to interpret,,Metatheory of Ontology,
6,20400528,Ontology_engineering,Ontology engineering,"and systems engineering, ontology engineering is a field which studies the methods and methodologies for building ontologies, which encompasses a representation",,Field which studies the methods and methodologies for building ontologies,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 174, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/MBED_Top_Level_Ontology.jpg/200px-MBED_Top_Level_Ontology.jpg'}"
7,248001,Web_Ontology_Language,Web Ontology Language,The Web Ontology Language (OWL) is a family of knowledge representation languages for authoring ontologies. Ontologies are a formal way to describe taxonomies,,Family of knowledge representation languages,
8,25980060,Ontological_argument,Ontological argument,"An ontological argument is a philosophical argument, made from an ontological basis, that is advanced in support of the existence of God. Such arguments",,Philosophical argument to prove the existence of God,
9,27701207,Process_ontology,Process ontology,"process ontology refers to a universal model of the structure of the world as an ordered wholeness. Such ontologies are fundamental ontologies, in contrast",,,
10,24285129,Social_ontology,Social ontology,Social ontology is a branch of philosophy which studies the nature and properties of the social world. Social ontology deals with examining the various,,,
11,8806861,Applied_ontology,Applied ontology,"Applied ontology involves the practical application of ontological resources to specific domains, such as management, relationships, biomedicine or geography",,,
12,25389677,Disease_Ontology,Disease Ontology,The Disease Ontology (DO) is a formal ontology of human disease. The Disease Ontology project is hosted at the Institute for Genome Sciences at the University,,,
13,11849217,Ontology_mapping,Ontology mapping,"Ontology mapping may refer to: Ontology alignment, the process of determining correspondences between concepts in ontologies Semantic integration, the",,Topics referred to by the same term,
14,3215223,Ontology_language,Ontology language,"computer science and artificial intelligence, ontology languages are formal languages used to construct ontologies. They allow the encoding of knowledge about",,Formal language used to construct ontologies,
15,68682738,Cell_ontology,Cell ontology,Cell Ontology is an ontology that aims at capturing the diversity of cell types in animals. It is part of the Open Biomedical and Biological Ontologies (OBO),,,
16,59811190,Ontological_turn,Ontological turn,The ontological turn is an increased interest in ontology within a number of philosophical and academic disciplines during the early 2000s. The ontological,,,
17,30210829,Object-oriented_ontology,Object-oriented ontology,"In metaphysics, object-oriented ontology (OOO) is a 21st-century Heidegger-influenced school of thought that rejects the privileging of human existence",,Development by Harman et al of Heidegger and Husserl's ideas that reject anthropocentrism,
18,20402340,Ontology_components,Ontology components,"Contemporary ontologies share many structural similarities, regardless of the ontology language in which they are expressed. Most ontologies describe individuals",,Description of aspects of ontology,
19,60533236,Arabic_Ontology,Arabic Ontology,"Arabic Ontology is a linguistic ontology for the Arabic language, which can be used as an Arabic Wordnet with ontologically-clean content. People use it",,,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 78, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Ao-logo.png/200px-Ao-logo.png'}"
