topic,keyword,short_text
Information Technology,,"Knowing instructors have experiential knowledge of discipline-specific information and instruction success rates, this course is intended to convey an alternative to face-to-face instruction and aims to increase the commitment and desire of faculty to utilize online tools for instruction. Users I make no assumption about age or gender of learners; however, educational discipline and background are acknowledged, as well as the assumption that faculty have the knowledge to effectively operate a smart deviceSelf-Paced Study this course can be utilized as self-paced and focused on only those tools best suited according to discipline. Learning Objectives Learners will choose commonly utilized tools, technology and/or digital sources and identify technology(s) support of blended or fully online environment.Learners will use a technology evaluation rubric to evaluate a technology tool selected to meet a specific learning goal.Learners will develop a Technology Integration Professional Development Plan that will include their areas of need and a desire of use."
Information Technology,,"This module consists of a PowerPoint presentation, labs, and syllabus designed to enhance automotive electrical courses with HEV technologiesand was developed through seed funding from theCAAT. The PowerPointprovides a general overview ofHEVs and thetechnologies powering them. It's 190 slides and has two areas of focus: basic theory of operation and safety and service procedures. The following subjects are discussed: types of HEV systems (Ex: parallel, series, andseries-parallel),safety when working with HEVs (Ex: isolating systems/disable high voltage circuits, high voltage gloves, and insulated tools), testing HEV components (Ex: insulation tests),electrical differences between similar components of standard vehicles and HEVs (Ex: voltage, starter,and air conditioning), transaxle integration,power steering, regenerative braking, and correct service procedures for HEV components (Ex: battery, jump start, andmultimeter use).Differences between types of hybrid systems are compared for the Chevy Volt, Ford Escape Hybrid, and Toyota Prius. After viewing this presentation, a technician should have a basic understanding of HEVs' electrical systems and their differences from traditional vehicles when servicing. The labs supplementing the presentation cover HEV battery information, safety, system overview,insulation testing,and jump starting.For educators looking to modify current courses, the syllabus has highlighted fields where HEVtechnologies wereincorporated into an automotive electrical course at Lewis and Clark Community College."
Information Technology,,"Geo-information  has proven to be extremely helpful in many aspects of risk and disaster management: locational and situational awareness, monitoring of hazards, damage detection, sharing of information, defining vulnerability areas, etc. This course aims to provide knowledge on risk and disaster management activities, demonstrate use of geo-information technologies in emergency response, outline current challenges and motivate young geo-specialist to seek for advanced solutions. The course is organised as lectures and practicals.  The practicals will be in the form of  group assignments. Some excursions and guest lectures will be organised as well."
Information Technology,,"Engineering and Technology for the Better Good of Society PIT-OER is intended to train engineering technology students to leverage the power of select technologies aligned to the public interest applications and targeted public works institutions.This PIT-OER consists of four modules:Module 1: Project Management Methods with Applications to Public Works.Module 2: Technology and Ethics: “Are You Conflicted?”. Module 3: 3D Printing Applied to Everyday Public Interest and to Public Work Institutions.Module 4: How “Open” is Open Source Content: The Do’s and Don’t of Using Open Source Software, OSS. Each module is organized with lecture, assessment, and laboratory experiments. The modules are course materials for TECH-100, Introduction to Engineering and Technology, of Queensborough Community College."
Information Technology,,"Mushroom cultivation technology course provides students a detailed information on,1.Poisonous and edible mushrooms2.Mushrooms availble in India3. Mushroom cultivation procedure4. Storage &utilization5.Export value"
Information Technology,,"This resource contains presentations from the Center for Automotive Research (CAR) 2013 Management Briefing Seminars held August 5-8, 2013. With over 900 attendees from industry, government, media, and academia, the event featured outstanding presentations from industry thought leaders as well as various networking and social events. Using CAR research as a foundation, these seminars revolved around global manufacturing strategies, lightweighting, connected vehicles, powertrain developments, sales forecasting, purchasing, policy, designing for technology, and capital investment."
Information Technology,,"Introduces the history and current status of information systems in health care: information architectures, administrative and clinical applications, evidence-based medicine, information retrieval, decision support systems, security and confidentiality, bioinformatics, information system cycles, the electronic health record, key health information systems and standards, and medical devices. Teaches strategies and tools to insure the development and/or selection of health information systems. Discusses the role of healthcare information and communication technologies in healthcare delivery including their role in improving the quality, safety and efficiency of healthcare delivery.Documents go with the course shell available via this link https://lor.instructure.com/resources/ebba206534fc4ec8b2a912e648d70a0d?shared"
Information Technology,,"Mushroom Cultivation Technology Course provides a detailed information on1. the types of different edible and poisonous mushrooms,2. mushrooms available in India3. Cultivation technology of mushrooms4. storage &Utilization of Mushrooms5. Export value of mushrooms"
Information Technology,,"The following course was created by Grand Rapids Community College (GRCC), through seed funding from theCAAT, to train workers for entry level positions in the advanced energy manufacturing industry. The course is designed around OSHA's ""Standards for General Industry"" and if taught by an authorized General Industry Outreach Training Program Instructor, students should receive an OSHA General Industry 30-hour Safety certification. Instructional materials include PowerPoint presentations, instructor notes, OSHA instructor and student manuals (handouts/assignments), and lesson objectives. All lessons are intended to be taught through PowerPoint presentations with guidance from the included lesson objectives and notes for instructors. The included PowerPoints are original OSHA presentations modified by GRCC and originals created by GRCC. The lesson topics are: Introduction to OSHA Safety and Health Programs, Hazard Mapping, Personal Protective Equipment, Exit Routes and Emergency Action Plans, Fire Protection and Prevention, Electrical Hazards, Ergonomics and Manual Material Handling, Walking and Working Surfaces, Industrial Hygiene, Flammable and Combustible Liquids Hazard CommunicationExit Routes and Emergency Action Plans, Fire Protection and Prevention, First Aid and CPR, Hand and Power Tool Safety, Machine Guarding, and Control of Hazardous Energy (Lockout/Tag-out).For more information on the course visit https://learning.grcc.edu/ec2k/CourseListing.asp?master_id=777&course_area=CEMF&course_number=102&course_subtitle=00."
Information Technology,,"This PowerPoint presentation was delivered by Anthony Tisler from the Michigan Academy for Green Mobility Alliance (MAGMA) at the Utica Community Schools' Professional Development Day for Teachers in the Industrial Arts/Engineering Pathway, held at the Instructional Resource Center in Sterling Heights, MI on April 15, 2014. The presentation provides information on electric vehicle architecture and components. It is a great tool for introducing students at the high school or college level to various battery electric vehicle (BEV) and hybrid electric vehicle (HEV) components, configurations, and operation."
Information Technology,,"Quantum Information Processing aims at harnessing quantum physics to conceive and build devices that could dramatically exceed the capabilities of today's ""classical"" computation and communication systems. In this course, we will introduce the basic concepts of this rapidly developing field."
