topic,keyword,short_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Have you ever wondered what it takes to get your train on the right platform at the scheduled time every day?Understanding the complexity behind today’s sophisticated railway systems will give you a better insight into how this safe and reliable transportation system works. We will show you the many factors which are involved and how multiple people, behind the scenes, have a daily task that enables you to get from home to work. Journey with us into the world of rail – a complex system that connects people, cities and countries.Railway systems entail much more than a train and a track. They are based on advanced technical and operational solutions, dealing with continuously changing demands for more efficient transport for both passengers and freight every day. Each system consists of many components that must be properly integrated: from trains, tracks, stations, signaling and control systems, through monitoring, maintenance and the impact on cities, landscape and people. This integration is the big challenge and the source of many train delays, inconvenient connections and other issues that impact our society.This engineering course attempts to tackle those issues by introducing you to a holistic approach to railway systems engineering. You will learn how the system components depend on each other to create a reliable, efficient and state-of-the-art network.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Édouard Manet, The Railway,1872-73, oil on canvas (National Gallery of Art) Speakers: Dr. Beth Harris, Dr. Steven Zucker. Created by Beth Harris and Steven Zucker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Joseph Mallord William Turner, Rain, Steam, and Speed -- The Great Western Railway, oil on canvas, 1844 (National Gallery, London) Speakers: Dr. Beth Harris, Dr. Steven Zucker. Rain, Steam, and Speed -- The Great Western Railway was exhibited at the Royal Academy in 1844. It depicts the Maidenhead Railway Bridge (completed (1838) looking east, across the River Thames​ between Taplow and Maidenhead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Students act as civil engineers developing safe railways as a way to strengthen their understanding of parallel and intersecting lines. Using pieces of yarn to visually represent line segments, students lay down ""train tracks"" on a carpeted floor, and make guesses as to whether these segments are arranged in parallel or non-parallel fashion. Students then test their tracks by running two LEGO® MINDSTORMS® NXT robots to observe the consequences of their track designs, and make safety improvements. Robots on intersecting courses face imminent collision, while robots on parallel courses travel safely.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Plessy v. Ferguson was an 1896 Supreme Court case concerning whether ""separate but equal"" railway cars for black and white Americans violated the equal protection clause of the Fourteenth Amendment. In this video, Kim discusses the case with scholars Jamal Greene and Earl Maltz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"A map from 1912 of the United States, subtitled ""Distribution of Population and Railways in 1900"" showing the increase in population and expansion of the railroad network since 1850. The map is color–coded to show population densities ranging from areas with fewer than 2 inhabitants per square mile to areas of 90 or more inhabitants per square mile. Cities with populations over 8,000 are shown with circles proportionate to their populations at the time. The map shows the westward progression of the mean centers of population from 1790 to 1900.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"Auguste Rodin, The Gates of Hell​, 1880-1917, plaster (Musée d'Orsay, Paris) Speakers: Dr. Beth Harris and Dr. Steven Zucker When the building, earlier on the site of the Musée d'Orsay in Paris, was destroyed by fire during the Commune in 1871, plans were drawn up to replace it with a museum of decorative arts. Rodin won the competition to design a great set of doors for its entry way. Although the museum was never built, Rodin continued to work on the doors. They became an ongoing project; a grand stage for his sculptural ideas. It's fitting that the plaster of this great unfinished sculpture, The Gates of Hell, is now on display at the d'Orsay, the former railway terminal that was built on this site instead of the museum of decorative arts and that, by lovely coincidence, was converted into one of the world's great art museums. Created by Beth Harris and Steven Zucker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Railways,"In 1862, Congress passed and President Lincoln signed the Pacific Railroad Bill, which granted public land and funds to build a transcontinental railroad. The Central Pacific Railroad would lay tracks from California heading east, and the Union Pacific Railroad would lay tracks from the Missouri River west. The photograph taken in Placer County, ""Grading the Central Pacific Railroad,"" shows some of the construction. Work on the railroad was physically difficult and at times dangerous, and attracting workers was a challenge. The majority of the Central Pacific's laborers were Chinese. A Chinese worker is shown in the image ""Heading (top cut) of East Portal, Tunnel No. 8."" Both railroad companies actively recruited Chinese laborers because they were regarded as hard workers and were willing to accept a lower wage than white workers, mostly Irish immigrants. As construction progressed, the Central Pacific and the Union Pacific competed to see which could lay the most track each day. A photograph of a sign near Promontory Park, Utah, commemorates the day that Central Pacific crews laid an unprecedented 10 miles of track. The meeting of the two sets of tracks ? the ""gold spike"" ceremony ? took place on May 10, 1869. Several photographs and drawings depict this historic moment. Now the country was connected as never before: a journey between San Francisco and New York that previously took up to six months now took only days. The photograph ""High Bridge in Loop,"" from Views from a Trip to California, shows a train passing quickly through a mountain pass. The transcontinental railroad allowed people to travel more, farther, and in pleasant conditions, as reflected in the photograph ""Commissary Car, 'Elkhorn Club.'"" The photograph ""Knights of Pythias at the Santa Fe Railway Station, Anaheim"" shows an example of the popularity of trains. Even as the transcontinental railroad brought the new country together, it brought change to the world of Native Americans. The tracks ran through a number of tribal territories, bringing into conflict cultures that held very different views of the land and how it might be used and lived on. The painting The First Train, by Herbert Schuyler, depicts three Indians pointing past their encampment at a train in the far distance. The railroad also brought an increasing number of European Americans west. One consequence of this influx was the depletion of the buffalo herds, a major food source for Plains Indians. European Americans would often shoot buffalo for sport from the train; by 1880, the buffalo were mostly gone and Plains Indians had been gathered onto reservations. Millions of acres of open grassland were being settled by the people moving west. Eventually, much of this land became the farmland that fed a growing nation. The transcontinental railroad opened up the West to the rest of the country, even if they never made the trip themselves. A Currier & Ives hand-colored lithograph depicts a train running along the Truckee River in Northern California. The San Francisco publishing firm of Lawrence & Houseworth hired photographers and published photographic tourist catalogs containing views of the West, which they sold commercially. The railroad took hold in popular culture, as shown by sheet music for the song ""New Express Galop [sic]."" There was even a railroad board game illustrating ""Railroads Between New York and San Francisco, California, with Scenes on the Way.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"Artist Maurizio Cattelan duct taped a banana to a wall, titled it ""Comedian"", and sold 5 editions of the artwork for as much as $150,000 each. Why did it capture our attention, curiosity, and memes? What does it mean?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,This is a task from the Illustrative Mathematics website that is one part of a complete illustration of the standard to which it is aligned. Each task has at least one solution and some commentary that addresses important asects of the task and its potential use. Here are the first few lines of the commentary for this task: Carlos bought $6\frac12$ pounds of bananas for \$5.20. What is the price per pound of the bananas that Carlos bought?[_____] What quantity of bananas w...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
